trip_id,source_area_type,destination_area_type,distance_km,duration_min,traffic_level,time_of_day,day_type,weather,vehicle_type,peak_hour,transfer_count,walking_distance_m,route_type,estimated_fare
SCV20000031,commercial,office_area,4.25,53.80,high,evening,weekday,clear,auto,yes,0,138,direct,239.30
SCV20000032,commercial,residential,3.90,20.30,medium,afternoon,weekday,clear,auto,yes,0,123,direct,112.70
SCV20000033,college_area,metro_station,3.75,30.90,medium,evening,weekday,clear,rapido,yes,0,118,direct,91.95
SCV20000034,college_area,office_area,6.24,26.40,low,morning,weekday,clear,ola,no,0,129,direct,238.33
SCV20000035,residential,office_area,15.21,43.40,low,night,weekday,cloudy,auto,no,0,15,direct,289.63
SCV20000036,metro_station,residential,2.82,18.80,low,afternoon,weekend,cloudy,metro,no,0,143,direct,24.43
SCV20000037,residential,commercial,4.98,22.10,low,night,weekend,clear,auto,no,0,0,direct,115.35
SCV20000038,residential,shopping_area,12.74,74.20,medium,evening,weekday,cloudy,bus,yes,0,11,direct,17.88
SCV20000039,commercial,office_area,5.58,62.80,high,morning,weekday,cloudy,ola,yes,1,904,multimodal,520.08
SCV20000040,residential,metro_station,5.36,20.90,medium,morning,weekday,clear,ola,no,0,80,direct,224.79
SCV20000041,metro_station,commercial,5.46,33.50,medium,morning,weekday,clear,ola,yes,0,74,direct,293.36
SCV20000042,airport,residential,26.68,116.60,medium,morning,weekday,cloudy,ola,no,3,1153,multimodal,1023.58
SCV20000043,residential,office_area,9.69,46.40,medium,evening,weekday,clear,ola,yes,0,127,direct,405.29
SCV20000044,commercial,metro_station,3.98,52.70,medium,morning,weekday,clear,metro,yes,3,1201,multimodal,17.02
SCV20000045,residential,office_area,14.33,44.80,low,afternoon,weekday,clear,rapido,no,0,115,direct,166.24
SCV20000046,metro_station,commercial,4.92,54.30,high,morning,weekday,cloudy,auto,yes,1,828,multimodal,282.74
SCV20000047,airport,residential,13.46,74.50,medium,evening,weekday,clear,uber,yes,0,192,direct,827.65
SCV20000048,metro_station,commercial,5.64,31.60,medium,morning,weekday,cloudy,uber,yes,0,146,direct,392.60
SCV20000049,college_area,residential,6.42,24.40,low,afternoon,weekend,clear,auto,yes,0,47,direct,170.08
SCV20000050,residential,metro_station,4.59,22.00,low,afternoon,weekend,clear,bus,no,0,134,direct,22.55
SCV20000051,college_area,commercial,10.76,81.30,high,morning,weekday,rainy,uber,yes,0,106,direct,977.56
SCV20000052,commercial,residential,4.83,26.20,medium,evening,weekday,clear,uber,no,0,90,direct,289.83
SCV20000053,residential,shopping_area,7.27,45.20,medium,evening,weekend,clear,ola,yes,0,83,direct,348.86
SCV20000054,residential,commercial,6.53,19.70,low,night,weekday,clear,rapido,no,0,147,direct,72.12
SCV20000055,college_area,residential,8.67,63.90,medium,morning,weekend,rainy,rapido,yes,1,988,multimodal,191.74
SCV20000056,residential,shopping_area,9.08,25.20,low,night,weekend,cloudy,uber,no,0,71,direct,407.55
SCV20000057,residential,metro_station,5.71,27.30,medium,morning,weekday,clear,uber,no,0,102,direct,332.21
SCV20000058,commercial,shopping_area,7.40,44.90,high,morning,weekday,clear,metro,yes,0,298,direct,10.00
SCV20000059,residential,office_area,12.62,60.20,medium,evening,weekday,clear,uber,no,0,60,direct,575.95
SCV20000060,metro_station,office_area,7.46,84.30,medium,evening,weekday,cloudy,uber,no,3,2401,multimodal,604.78
SCV20000061,commercial,metro_station,5.98,22.40,medium,afternoon,weekday,clear,ola,yes,0,107,direct,247.02
SCV20000062,metro_station,office_area,6.59,22.60,medium,morning,weekday,cloudy,ola,no,0,63,direct,282.27
SCV20000063,commercial,residential,11.42,36.00,low,night,weekday,clear,uber,no,0,143,direct,451.35
SCV20000064,airport,commercial,21.05,92.30,low,night,weekend,cloudy,metro,no,1,1136,multimodal,30.71
SCV20000065,college_area,commercial,5.20,36.50,low,morning,weekday,clear,ola,no,1,876,multimodal,258.90
SCV20000066,metro_station,office_area,7.29,42.10,medium,afternoon,weekday,clear,auto,no,1,158,direct,197.50
SCV20000067,commercial,metro_station,4.31,44.30,high,evening,weekday,cloudy,rapido,yes,0,68,direct,139.36
SCV20000068,metro_station,residential,6.44,23.80,medium,afternoon,weekday,cloudy,uber,yes,0,70,direct,360.56
SCV20000069,commercial,residential,6.22,23.10,low,afternoon,weekend,cloudy,uber,no,0,85,direct,324.14
SCV20000070,commercial,residential,11.52,53.20,medium,afternoon,weekday,clear,ola,no,1,782,multimodal,489.42
SCV20000071,residential,office_area,10.93,48.60,medium,morning,weekday,clear,rapido,yes,0,106,direct,162.07
SCV20000072,residential,office_area,15.91,88.20,high,morning,weekday,rainy,bus,yes,0,409,direct,32.79
SCV20000073,commercial,metro_station,4.00,25.70,medium,afternoon,weekend,clear,uber,yes,0,55,direct,287.80
SCV20000074,metro_station,commercial,4.69,33.00,medium,evening,weekday,clear,bus,no,0,188,direct,10.00
SCV20000075,airport,metro_station,28.24,142.10,high,morning,weekday,clear,ola,yes,0,186,direct,1500.00
SCV20000076,commercial,office_area,5.69,59.20,high,evening,weekday,clear,rapido,yes,0,56,direct,164.70
SCV20000077,college_area,metro_station,4.23,58.30,medium,morning,weekday,rainy,bus,yes,1,1476,multimodal,32.87
SCV20000078,commercial,office_area,8.27,74.70,medium,morning,weekday,clear,auto,yes,3,1095,multimodal,270.47
SCV20000079,commercial,shopping_area,7.73,31.50,low,afternoon,weekday,clear,metro,no,0,247,direct,11.37
SCV20000080,residential,metro_station,3.18,20.40,medium,morning,weekday,clear,ola,yes,0,0,direct,217.22
SCV20000081,residential,commercial,14.25,58.40,medium,afternoon,weekday,clear,bus,yes,1,177,direct,47.52
SCV20000082,residential,commercial,8.01,73.50,high,evening,weekday,rainy,auto,yes,0,0,direct,392.62
SCV20000083,college_area,metro_station,8.68,47.20,low,morning,weekend,cloudy,metro,no,2,602,multimodal,23.62
SCV20000084,airport,commercial,33.17,128.30,medium,afternoon,weekday,rainy,uber,yes,1,797,multimodal,1500.00
SCV20000085,residential,metro_station,6.53,60.10,medium,night,weekend,clear,bus,yes,1,995,multimodal,39.41
SCV20000086,residential,metro_station,10.07,40.90,low,afternoon,weekday,clear,ola,no,1,759,multimodal,367.55
SCV20000087,commercial,shopping_area,9.18,48.80,low,night,weekday,cloudy,bus,no,1,1161,multimodal,13.15
SCV20000088,residential,metro_station,4.64,72.60,high,evening,weekday,cloudy,ola,yes,1,1384,multimodal,520.82
SCV20000089,commercial,shopping_area,5.81,32.30,medium,morning,weekday,clear,ola,yes,0,15,direct,285.63
SCV20000090,residential,metro_station,4.87,27.20,medium,evening,weekday,clear,ola,yes,0,0,direct,277.72
SCV20000091,college_area,office_area,4.51,31.70,low,night,weekend,cloudy,bus,no,1,1290,multimodal,17.98
SCV20000092,college_area,office_area,9.14,42.90,low,morning,weekday,clear,auto,no,1,427,multimodal,185.78
SCV20000093,residential,metro_station,5.78,42.40,low,morning,weekend,cloudy,rapido,no,1,946,multimodal,120.00
SCV20000094,residential,metro_station,2.74,5.00,low,morning,weekend,clear,rapido,no,0,0,direct,43.20
SCV20000095,college_area,office_area,10.55,37.70,low,afternoon,weekend,clear,auto,no,0,152,direct,214.69
SCV20000096,college_area,commercial,6.46,66.10,medium,morning,weekday,clear,metro,yes,2,1419,multimodal,42.18
SCV20000097,residential,shopping_area,13.50,102.40,high,evening,weekday,cloudy,bus,yes,0,253,direct,16.37
SCV20000098,residential,shopping_area,10.82,37.10,medium,afternoon,weekday,cloudy,rapido,no,0,70,direct,170.52
SCV20000099,airport,office_area,21.43,53.20,low,night,weekday,clear,rapido,no,0,79,direct,245.11
SCV20000100,metro_station,commercial,2.37,29.70,high,morning,weekday,cloudy,auto,yes,0,52,direct,155.86
SCV20000101,college_area,residential,11.46,90.20,medium,evening,weekday,clear,rapido,yes,2,678,multimodal,264.07
SCV20000102,college_area,metro_station,2.95,5.60,low,night,weekday,rainy,rapido,no,0,147,direct,52.51
SCV20000103,college_area,metro_station,4.21,30.50,medium,evening,weekday,cloudy,auto,yes,0,2,direct,139.53
SCV20000104,college_area,metro_station,5.40,25.30,medium,morning,weekday,cloudy,auto,yes,0,45,direct,177.49
SCV20000105,metro_station,commercial,2.72,35.00,medium,evening,weekday,clear,auto,yes,0,29,direct,134.71
SCV20000106,commercial,shopping_area,2.86,9.60,low,afternoon,weekend,clear,rapido,no,0,0,direct,60.07
SCV20000107,residential,metro_station,5.51,21.00,low,afternoon,weekday,cloudy,uber,no,0,51,direct,268.98
SCV20000108,college_area,residential,5.17,31.40,low,evening,weekday,cloudy,bus,no,0,182,direct,24.93
SCV20000109,airport,commercial,30.67,83.00,low,afternoon,weekend,clear,rapido,no,0,88,direct,368.91
SCV20000110,commercial,metro_station,5.01,42.50,medium,morning,weekday,clear,auto,yes,1,859,multimodal,182.22
SCV20000111,metro_station,commercial,6.96,66.90,high,evening,weekday,clear,bus,yes,0,193,direct,41.60
SCV20000112,college_area,residential,3.27,14.00,medium,morning,weekday,clear,metro,yes,0,172,direct,23.92
SCV20000113,metro_station,shopping_area,5.46,24.00,medium,morning,weekday,clear,ola,yes,0,20,direct,273.09
SCV20000114,airport,metro_station,27.96,72.70,low,night,weekend,rainy,auto,no,0,0,direct,520.80
SCV20000115,college_area,office_area,6.60,26.50,low,night,weekday,cloudy,rapido,no,0,33,direct,104.59
SCV20000116,residential,shopping_area,10.24,55.50,medium,evening,weekday,rainy,metro,yes,0,242,direct,22.67
SCV20000117,college_area,metro_station,2.85,20.50,medium,morning,weekday,rainy,metro,yes,0,236,direct,10.00
SCV20000118,residential,office_area,9.51,42.60,medium,morning,weekday,clear,ola,yes,0,86,direct,466.47
SCV20000119,residential,commercial,10.95,128.20,high,evening,weekday,cloudy,metro,yes,3,1501,multimodal,39.30
SCV20000120,commercial,office_area,6.37,35.90,medium,morning,weekday,clear,metro,no,0,253,direct,26.58
SCV20000121,commercial,metro_station,2.03,24.00,medium,afternoon,weekday,rainy,bus,yes,0,216,direct,20.46
SCV20000122,metro_station,shopping_area,2.37,29.30,low,evening,weekend,clear,ola,no,0,154,direct,188.79
SCV20000123,metro_station,commercial,3.46,17.90,low,afternoon,weekend,clear,auto,no,0,83,direct,81.92
SCV20000124,residential,office_area,4.65,34.50,medium,morning,weekday,clear,uber,yes,0,94,direct,347.94
SCV20000125,college_area,commercial,11.05,85.90,low,afternoon,weekend,cloudy,metro,no,3,1299,multimodal,10.97
SCV20000126,commercial,office_area,5.04,31.10,medium,morning,weekday,clear,uber,yes,0,131,direct,357.96
SCV20000127,residential,metro_station,8.77,49.20,medium,evening,weekday,clear,rapido,no,0,63,direct,150.03
SCV20000128,airport,commercial,24.75,77.40,low,morning,weekend,clear,rapido,no,0,128,direct,312.02
SCV20000129,metro_station,commercial,5.07,57.50,high,morning,weekday,rainy,ola,yes,0,159,direct,502.29
SCV20000130,residential,metro_station,5.60,71.60,high,morning,weekday,clear,rapido,yes,3,1132,multimodal,202.62
SCV20000131,commercial,residential,8.60,33.90,low,afternoon,weekday,cloudy,ola,no,0,90,direct,301.76
SCV20000132,residential,office_area,12.93,34.90,low,afternoon,weekend,clear,auto,no,0,46,direct,237.23
SCV20000133,college_area,office_area,7.48,41.00,medium,evening,weekday,cloudy,rapido,yes,0,29,direct,128.26
SCV20000134,airport,office_area,12.65,84.60,low,afternoon,weekday,clear,bus,no,3,1689,multimodal,53.89
SCV20000135,airport,office_area,25.10,82.90,medium,afternoon,weekday,clear,ola,yes,0,109,direct,968.62
SCV20000136,residential,metro_station,4.82,60.40,high,evening,weekday,clear,rapido,yes,0,126,direct,175.71
SCV20000137,commercial,office_area,8.90,53.10,low,night,weekend,clear,uber,yes,1,951,multimodal,543.46
SCV20000138,residential,office_area,10.57,86.10,high,evening,weekday,clear,bus,yes,0,327,direct,23.01
SCV20000139,residential,commercial,13.94,63.40,medium,morning,weekday,clear,bus,yes,0,300,direct,36.01
SCV20000140,airport,office_area,31.18,150.00,high,evening,weekday,clear,uber,yes,0,0,direct,1500.00
SCV20000141,commercial,metro_station,3.05,31.70,medium,morning,weekday,clear,ola,yes,0,78,direct,241.27
SCV20000142,metro_station,commercial,6.59,55.60,medium,evening,weekday,clear,metro,yes,1,955,multimodal,16.99
SCV20000143,metro_station,commercial,5.70,56.90,high,evening,weekday,cloudy,rapido,yes,0,102,direct,190.28
SCV20000144,college_area,residential,6.70,52.50,medium,morning,weekday,clear,bus,yes,1,1336,multimodal,41.40
SCV20000145,commercial,residential,13.92,143.90,high,evening,weekday,rainy,metro,yes,1,967,multimodal,44.44
SCV20000146,residential,office_area,6.18,62.30,medium,evening,weekday,clear,metro,yes,2,1102,multimodal,34.49
SCV20000147,residential,metro_station,3.45,63.60,high,evening,weekday,cloudy,metro,yes,1,1124,multimodal,34.04
SCV20000148,residential,metro_station,6.20,25.70,low,afternoon,weekday,cloudy,ola,no,0,99,direct,252.25
SCV20000149,commercial,shopping_area,6.20,34.10,medium,morning,weekday,cloudy,ola,no,0,171,direct,292.73
SCV20000150,airport,commercial,18.40,71.90,medium,afternoon,weekday,clear,auto,no,0,117,direct,419.52
SCV20000151,residential,commercial,3.60,17.30,low,afternoon,weekend,cloudy,metro,no,0,229,direct,10.72
SCV20000152,college_area,commercial,12.06,58.00,medium,evening,weekday,cloudy,ola,no,0,153,direct,431.98
SCV20000153,residential,shopping_area,6.44,34.60,low,evening,weekend,clear,ola,no,0,25,direct,261.85
SCV20000154,airport,residential,32.48,129.00,low,night,weekend,rainy,metro,no,3,1411,multimodal,62.13
SCV20000155,college_area,commercial,7.77,50.30,low,afternoon,weekday,clear,uber,no,1,1072,multimodal,439.51
SCV20000156,metro_station,commercial,4.60,34.70,medium,evening,weekday,clear,auto,yes,0,153,direct,169.80
SCV20000157,metro_station,residential,5.36,22.30,medium,afternoon,weekday,rainy,auto,yes,1,21,direct,146.93
SCV20000158,metro_station,residential,2.92,14.30,low,afternoon,weekday,clear,auto,no,0,68,direct,90.82
SCV20000159,commercial,shopping_area,7.50,54.90,high,evening,weekday,clear,rapido,yes,0,43,direct,202.45
SCV20000160,residential,commercial,11.98,91.50,medium,evening,weekend,cloudy,metro,no,1,1422,multimodal,37.22
SCV20000161,residential,office_area,7.26,45.10,medium,afternoon,weekday,clear,auto,yes,1,465,multimodal,229.19
SCV20000162,residential,commercial,10.51,43.50,low,evening,weekend,cloudy,metro,no,1,235,direct,34.96
SCV20000163,residential,metro_station,4.10,31.50,medium,evening,weekend,clear,uber,yes,0,13,direct,358.30
SCV20000164,airport,office_area,30.91,150.00,high,evening,weekday,cloudy,bus,yes,2,1471,multimodal,84.35
SCV20000165,metro_station,commercial,4.30,23.50,medium,morning,weekday,clear,uber,yes,0,37,direct,298.79
SCV20000166,metro_station,residential,1.99,18.40,medium,morning,weekday,clear,uber,yes,0,0,direct,208.54
SCV20000167,commercial,residential,6.24,23.90,medium,morning,weekday,clear,uber,yes,0,125,direct,391.10
SCV20000168,metro_station,commercial,7.96,59.40,low,afternoon,weekend,cloudy,uber,no,3,1554,multimodal,479.47
SCV20000169,residential,metro_station,6.30,34.40,medium,morning,weekday,clear,rapido,yes,1,81,direct,111.64
SCV20000170,metro_station,commercial,5.02,17.10,medium,morning,weekday,clear,auto,yes,0,20,direct,131.90
SCV20000171,residential,metro_station,6.76,63.90,high,evening,weekday,rainy,ola,yes,0,61,direct,540.86
SCV20000172,airport,metro_station,18.12,95.90,medium,evening,weekday,clear,rapido,yes,0,60,direct,310.94
SCV20000173,metro_station,shopping_area,4.40,19.70,medium,afternoon,weekday,clear,bus,no,0,162,direct,24.86
SCV20000174,metro_station,residential,3.57,14.90,low,night,weekday,clear,rapido,no,0,170,direct,77.94
SCV20000175,commercial,office_area,5.35,46.50,medium,morning,weekday,cloudy,metro,no,1,142,multimodal,10.00
SCV20000176,college_area,commercial,5.05,17.90,low,night,weekday,cloudy,uber,no,0,83,direct,248.99
SCV20000177,airport,commercial,18.03,143.20,high,evening,weekday,cloudy,bus,yes,0,277,direct,81.96
SCV20000178,commercial,metro_station,7.52,45.40,high,morning,weekday,rainy,auto,yes,0,57,direct,295.68
SCV20000179,college_area,residential,8.88,29.90,low,afternoon,weekday,rainy,uber,no,1,175,direct,419.16
SCV20000180,residential,metro_station,8.41,94.00,high,evening,weekday,clear,metro,yes,1,969,multimodal,19.19
SCV20000181,commercial,office_area,10.11,39.40,medium,morning,weekday,clear,ola,yes,0,56,direct,426.01
SCV20000182,residential,office_area,12.85,105.90,high,morning,weekday,rainy,auto,yes,2,1415,multimodal,527.02
SCV20000183,residential,office_area,11.85,59.60,low,night,weekend,clear,auto,no,1,1272,multimodal,271.06
SCV20000184,residential,office_area,6.86,51.60,medium,afternoon,weekday,rainy,auto,yes,1,1390,multimodal,280.84
SCV20000185,commercial,residential,9.45,25.50,low,night,weekday,cloudy,uber,no,0,44,direct,365.07
SCV20000186,metro_station,shopping_area,5.04,66.60,medium,evening,weekday,clear,bus,yes,2,1689,multimodal,21.56
SCV20000187,residential,commercial,7.11,45.40,high,morning,weekday,rainy,uber,yes,0,32,direct,655.18
SCV20000188,commercial,shopping_area,5.61,36.30,low,afternoon,weekday,clear,bus,no,1,538,multimodal,30.94
SCV20000189,residential,commercial,8.77,98.60,high,evening,weekday,cloudy,bus,yes,1,1019,multimodal,33.57
SCV20000190,commercial,metro_station,5.14,17.40,low,afternoon,weekday,clear,auto,no,0,100,direct,108.24
SCV20000191,residential,office_area,5.62,15.80,low,night,weekend,clear,uber,no,0,151,direct,312.34
SCV20000192,metro_station,commercial,1.93,36.00,medium,evening,weekend,clear,bus,no,1,790,multimodal,11.10
SCV20000193,commercial,shopping_area,2.36,17.80,medium,evening,weekday,clear,auto,yes,0,0,direct,111.05
SCV20000194,commercial,office_area,4.00,24.80,medium,morning,weekday,clear,rapido,yes,0,118,direct,86.46
SCV20000195,residential,office_area,8.71,59.00,low,afternoon,weekend,rainy,bus,no,1,952,multimodal,31.15
SCV20000196,residential,commercial,11.73,48.70,medium,morning,weekday,cloudy,auto,yes,0,69,direct,273.52
SCV20000197,commercial,shopping_area,8.31,68.50,high,evening,weekday,cloudy,ola,yes,0,71,direct,606.20
SCV20000198,college_area,metro_station,3.69,16.00,low,afternoon,weekend,clear,rapido,no,0,0,direct,62.31
SCV20000199,commercial,office_area,2.77,35.10,high,evening,weekday,cloudy,auto,yes,1,68,direct,186.40
SCV20000200,residential,office_area,9.87,57.80,medium,evening,weekday,clear,auto,yes,0,120,direct,257.75
SCV20000201,airport,commercial,19.42,55.60,low,night,weekend,clear,ola,no,0,0,direct,608.76
SCV20000202,metro_station,shopping_area,7.93,48.60,low,afternoon,weekend,clear,auto,yes,1,1031,multimodal,215.67
SCV20000203,airport,commercial,17.14,150.00,high,evening,weekday,cloudy,bus,yes,1,1016,multimodal,36.85
SCV20000204,metro_station,shopping_area,8.50,59.30,medium,morning,weekday,clear,rapido,no,1,585,multimodal,173.92
SCV20000205,commercial,residential,9.96,39.40,low,afternoon,weekend,rainy,ola,no,0,55,direct,403.38
SCV20000206,commercial,office_area,6.14,46.60,medium,afternoon,weekday,clear,ola,yes,1,893,multimodal,341.92
SCV20000207,commercial,shopping_area,12.14,60.00,low,afternoon,weekend,cloudy,rapido,yes,2,1277,multimodal,225.25
SCV20000208,residential,office_area,14.96,65.40,medium,morning,weekday,cloudy,uber,yes,0,73,direct,770.18
SCV20000209,commercial,office_area,4.46,22.00,medium,afternoon,weekday,rainy,auto,no,0,147,direct,138.03
SCV20000210,college_area,commercial,6.20,44.00,medium,evening,weekday,clear,ola,yes,0,167,direct,337.61
SCV20000211,commercial,office_area,9.35,80.20,high,evening,weekday,clear,uber,yes,0,4,direct,808.23
SCV20000212,metro_station,commercial,2.35,31.20,high,evening,weekday,clear,ola,yes,0,59,direct,295.80
SCV20000213,metro_station,commercial,4.19,18.00,medium,morning,weekday,clear,uber,yes,0,57,direct,267.64
SCV20000214,commercial,office_area,8.93,57.20,medium,evening,weekday,cloudy,ola,no,0,122,direct,395.68
SCV20000215,college_area,office_area,13.35,41.60,low,night,weekday,clear,auto,no,0,0,direct,243.05
SCV20000216,college_area,commercial,5.55,30.50,medium,evening,weekday,clear,uber,yes,0,109,direct,356.68
SCV20000217,commercial,shopping_area,3.06,10.70,low,night,weekday,clear,ola,no,0,121,direct,147.24
SCV20000218,airport,commercial,29.75,106.30,low,night,weekend,clear,bus,no,1,1246,multimodal,46.93
SCV20000219,residential,metro_station,4.76,21.70,medium,afternoon,weekday,cloudy,uber,no,0,89,direct,280.87
SCV20000220,metro_station,office_area,5.97,28.40,low,afternoon,weekday,clear,metro,no,0,173,direct,17.88
SCV20000221,residential,office_area,11.89,96.90,high,morning,weekday,rainy,bus,yes,1,1312,multimodal,44.84
SCV20000222,metro_station,commercial,4.35,73.70,high,evening,weekday,clear,bus,yes,1,1463,multimodal,36.19
SCV20000223,commercial,residential,5.73,46.90,medium,morning,weekday,cloudy,auto,yes,1,554,multimodal,263.53
SCV20000224,metro_station,shopping_area,3.61,20.10,low,night,weekday,cloudy,metro,no,0,196,direct,10.00
SCV20000225,residential,metro_station,7.64,26.00,low,afternoon,weekday,clear,auto,no,0,178,direct,149.06
SCV20000226,commercial,office_area,9.78,44.20,medium,afternoon,weekday,clear,rapido,no,0,170,direct,144.46
SCV20000227,metro_station,commercial,2.78,28.10,high,morning,weekday,clear,uber,yes,0,120,direct,310.16
SCV20000228,college_area,office_area,14.90,41.10,low,night,weekend,cloudy,ola,yes,1,184,direct,480.61
SCV20000229,commercial,residential,8.52,30.90,low,afternoon,weekday,clear,ola,no,0,104,direct,277.65
SCV20000230,residential,commercial,14.08,50.40,medium,afternoon,weekday,clear,rapido,yes,1,46,direct,184.76
SCV20000231,residential,commercial,8.63,67.20,high,evening,weekday,clear,ola,yes,0,0,direct,610.09
SCV20000232,residential,office_area,7.56,31.50,low,afternoon,weekday,clear,rapido,no,0,130,direct,107.86
SCV20000233,airport,residential,33.80,150.00,high,evening,weekday,clear,ola,yes,0,163,direct,1500.00
SCV20000234,residential,shopping_area,11.82,30.50,low,night,weekday,cloudy,ola,no,0,116,direct,344.14
SCV20000235,residential,metro_station,4.66,28.20,medium,morning,weekday,cloudy,uber,no,0,129,direct,300.60
SCV20000236,residential,metro_station,5.35,29.80,medium,evening,weekday,clear,ola,yes,0,121,direct,263.67
SCV20000237,residential,metro_station,5.45,59.60,high,evening,weekday,rainy,rapido,yes,0,106,direct,187.85
SCV20000238,college_area,metro_station,6.05,60.60,medium,morning,weekday,clear,bus,yes,2,1273,multimodal,34.55
SCV20000239,metro_station,commercial,6.90,33.20,medium,morning,weekday,clear,rapido,yes,0,51,direct,113.72
SCV20000240,metro_station,shopping_area,1.55,12.80,medium,evening,weekday,clear,ola,yes,0,148,direct,154.78
SCV20000241,commercial,residential,9.92,30.10,low,afternoon,weekday,clear,uber,no,1,56,direct,416.78
SCV20000242,airport,residential,20.02,128.20,medium,evening,weekend,rainy,ola,no,1,884,multimodal,1019.20
SCV20000243,residential,metro_station,3.54,27.40,medium,morning,weekday,clear,uber,yes,0,46,direct,302.54
SCV20000244,metro_station,residential,4.00,13.40,low,night,weekday,cloudy,rapido,no,0,72,direct,61.68
SCV20000245,airport,office_area,27.36,95.80,medium,morning,weekend,clear,auto,no,0,170,direct,568.83
SCV20000246,residential,office_area,5.76,23.70,medium,morning,weekday,clear,auto,yes,0,5,direct,150.17
SCV20000247,college_area,metro_station,6.52,62.30,medium,evening,weekday,cloudy,bus,yes,1,875,multimodal,36.42
SCV20000248,residential,metro_station,6.95,58.00,medium,evening,weekend,clear,rapido,yes,1,290,multimodal,180.02
SCV20000249,commercial,residential,10.79,52.20,medium,afternoon,weekday,rainy,uber,no,0,77,direct,603.12
SCV20000250,metro_station,residential,7.28,22.10,low,afternoon,weekday,clear,uber,no,0,127,direct,310.63
SCV20000251,residential,office_area,16.27,68.20,medium,morning,weekday,clear,auto,yes,0,83,direct,400.43
SCV20000252,residential,office_area,11.73,74.30,low,afternoon,weekend,clear,bus,no,3,1779,multimodal,22.79
SCV20000253,metro_station,commercial,3.77,30.90,medium,evening,weekday,clear,auto,yes,0,0,direct,158.92
SCV20000254,residential,metro_station,4.58,70.50,medium,morning,weekday,clear,bus,yes,2,1746,multimodal,19.74
SCV20000255,commercial,residential,2.43,17.00,medium,morning,weekday,cloudy,auto,yes,0,121,direct,92.79
